What3Words,Latitude,Longitude,Variety,Mismatches,Matches,Identified,Size,Pomiferous
abacus.expensive.smart,50.734732,-3.672099,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
abandons.fabricate.goggles,50.772087,-3.742345,No Match,NA,1,No,1,
actual.debut.catapult,50.765915,-3.765076,Bulmers Norman,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bulmers-norman-id-6958
admire.shun.dinosaur,50.734409,-3.671886,No Match,NA,1,No,1,
again.intrigued.repeated,50.772868,-3.743496,Bulmers Norman / White Muscadet,1,18,Yes,4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
agreeing.jets.fallback,50.734975,-3.671417,No Match,NA,1,No,1,
aimlessly.change.equipping,50.765268,-3.76482,No Match,NA,1,No,1,
airbase.vanish.televise,50.735029,-3.671076,No Match,NA,1,No,1,
airtime.skid.lentil,50.734004,-3.671886,No Match,NA,1,No,1,
alienated.fault.qualified,50.766023,-3.764948,No Match,NA,1,No,1,
alleyway.concerned.camera,50.772572,-3.742174,No Match,NA,1,No,1,
amazed.describes.formally,50.772383,-3.742601,No Match,NA,1,No,1,
animals.unleashed.downfield,50.767262,-3.767976,No Match,NA,1,No,1,
answer.simmer.gives,50.765834,-3.765247,No Match,NA,1,No,1,
arise.mills.securing,50.767235,-3.768061,Sweet Alford,NA,1,Yes (with mismatch),1,
atom.earpiece.ditched,50.766831,-3.768317,No Match,NA,1,No,1,
attends.centrally.lace,50.765052,-3.764436,No Match,NA,1,No,1,
avocado.squad.clef,50.734463,-3.672141,No Match,NA,1,No,1,
awoken.instincts.paid,50.73422,-3.672013,No Match,NA,1,No,1,
backup.formless.unloaded,50.735298,-3.671247,Chisel Jersey,0,17,Yes,2,https://pomiferous.com/applebyname/chisel-jersey-id-7006
bands.proved.compress,50.7336,-3.672056,Sweet Alford,0,20,Yes,8,https://pomiferous.com/applebyname/sweet-alford-id-7653
barbarian.palace.crest,50.735136,-3.671247,No Match,NA,1,No,1,
bashed.glorified.refutes,50.772706,-3.74324,Yarlington Mill,0,18,Yes,4,https://pomiferous.com/applebyname/yarlington-mill-id-6792
beak.reputable.anode,50.766966,-3.767891,Spartan,1,18,Yes (with mismatch),4,
billiard.joked.factory,50.773003,-3.743539,No Match,NA,1,No,1,
bleaker.landmark.foal,50.734112,-3.672013,No Match,NA,1,No,1,
boardroom.limit.pest,50.734705,-3.672269,No Match,NA,1,No,1,
boards.vies.kicks,50.734894,-3.671119,Bramley,0,18,Yes,4,https://pomiferous.com/applebyname/bramleys-seedling-id-936
bother.silk.situation,50.734786,-3.672482,No Match,NA,1,No,1,
bracing.ratio.rotation,50.773165,-3.742942,Sweet Alford,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/sweet-alford-id-7653
breached.creatures.tedious,50.733924,-3.672013,No Match,NA,1,No,1,
brightly.handyman.nagging,50.773084,-3.743496,Ellis Bitter,1,16,Yes (with mismatch),6,
brisk.bulge.form,50.772841,-3.743582,No Match,NA,1,No,1,
broker.wicked.transmits,50.733573,-3.672354,No Match,NA,1,No,1,
brotherly.kiosk.busy,50.765564,-3.764863,Worcester Pearmain,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/worcester-pearmain-id-6776
browsers.speeding.slowness,50.772787,-3.743624,Herefordshire Redstreak,1,18,Yes (with mismatch),4,
buckets.brambles.indicate,50.767289,-3.767976,No Match,NA,1,No,1,
buffoon.loader.historic,50.765484,-3.764991,Lorna Doone / Court Royal,1,18,Yes (with mismatch),4,
buffoon.louder.historic,50.765484,-3.764991,Crimson King / Old English Round,1,18,Yes (with mismatch),4,
buildings.shelved.assets,50.772679,-3.742857,No Match,NA,1,No,1,
bungalows.reflected.spillage,50.734382,-3.672269,No Match,NA,1,No,1,
burn.allies.damage,50.734975,-3.671374,No Match,NA,1,No,1,
buying.voting.glitter,50.767289,-3.767848,Tremletts Bitter,0,19,Yes,6,https://pomiferous.com/applebyname/tremletts-bitter-id-7690
camp.occupations.level,50.734139,-3.672354,No Match,NA,1,No,1,
cares.recently.forkful,50.767181,-3.768104,No Match,NA,1,No,1,
carver.colder.walls,50.766777,-3.768402,No Match,NA,1,No,1,
century.awoken.tadpoles,50.735244,-3.671034,Golden Delicious *,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/golden-delicious-id-2984
